Player,Age,Team,Position,GP,CF,CA,CF%,CF rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
P.K. Subban,31,NJD,D,44,743,708,51.2,-2.1,553,570,49.2,-2.8,8.1,89.4,97.5,43.6,56.4,22:22,18:50,12,45,-5.5,195,50.8
Oskar Sundqvist,26,STL,C,28,222,292,43.2,-8.0,161,220,42.3,-8.1,6.9,91.6,98.5,44.1,55.9,15:09,11:42,5,9,-4.9,50,64.0
Antti Suomela,26,SJS,C,4,28,24,53.8,4.8,22,12,64.7,17.7,0.0,100.0,100.0,59.1,40.9,11:07,9:21,2,1,1.4,5,80.0
Maksim Sushko,21,PHI,RW,2,12,13,48.0,-1.4,6,11,35.3,-8.9,0.0,87.5,87.5,30.0,70.0,9:34,9:33,0,1,-0.7,1,0.0
Pius Suter,24,CHI,F,55,652,723,47.4,1.4,478,542,46.9,1.8,10.1,89.7,99.8,58.2,41.8,16:20,14:22,27,19,-0.3,156,71.8
Ryan Suter,36,MIN,D,56,872,952,47.8,2.3,664,720,48.0,0.9,11.5,90.9,102.3,51.5,48.5,22:11,17:47,9,17,1.6,200,43.0
Brandon Sutter,31,VAN,C/RW,43,425,530,44.5,-2.8,334,391,46.1,-1.0,6.9,90.2,97.1,35.0,65.0,15:05,12:10,23,14,-5.9,94,69.1
Nick Suzuki,21,MTL,C,56,785,698,52.9,-1.8,569,522,52.2,-1.6,9.0,88.1,97.2,56.4,43.6,18:11,15:02,30,41,6.8,204,53.9
Andrei Svechnikov,20,CAR,RW,55,817,673,54.8,1.6,604,518,53.8,0.6,9.9,90.1,100.0,52.7,47.3,17:32,14:36,23,45,4.5,288,51.0
Evgeny Svechnikov,24,DET,LW,21,162,181,47.2,3.8,132,142,48.2,4.4,7.0,90.7,97.7,50.5,49.5,11:49,10:26,2,9,-1.7,35,60.0
Brandon Tanev,29,PIT,LW,32,292,305,48.9,-1.5,225,218,50.8,0.2,11.8,92.2,104.0,27.8,72.2,14:26,11:55,26,11,-1.0,62,69.4
Chris Tanev,31,CGY,D,56,892,729,55.0,3.1,691,532,56.5,5.9,8.2,93.1,101.4,49.2,50.8,21:44,18:17,23,57,12.9,122,54.1
Vladimir Tarasenko,29,STL,RW,24,309,339,47.7,0.6,228,241,48.6,1.5,5.7,89.3,95.0,52.0,48.0,17:25,14:50,10,9,-3.4,111,58.6
Tomas Tatar,30,MTL,LW,50,692,483,58.9,6.8,499,363,57.9,6.5,8.3,88.4,96.6,50.0,50.0,14:59,12:53,16,14,9.5,141,58.2
