Player,Age,Team,Position,GP,CF,CA,CF%,CF rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Pavel Zacha,23,NJD,C,50,587,611,49.0,-1.9,442,482,47.8,-2.4,8.8,88.9,97.7,46.8,53.2,17:09,13:11,20,30,-5.1,176,58.5
Filip Zadina,21,DET,RW,49,517,716,41.9,-5.0,388,555,41.1,-6.5,8.2,93.6,101.8,53.3,46.7,16:48,14:37,17,17,-7.3,169,57.4
Nikita Zadorov,25,CHI,D,55,668,843,44.2,-2.7,486,612,44.3,-1.3,8.9,93.3,102.3,38.4,61.6,19:12,17:19,16,41,-7.2,120,43.3
Nikita Zaitsev,29,OTT,D,55,934,1112,45.7,-4.4,707,811,46.6,-3.4,7.3,90.6,97.9,41.2,58.8,22:44,19:36,7,60,-10.0,175,40.0
Travis Zajac,35,TOT,C,46,537,537,50.0,-1.0,390,428,47.7,-2.2,8.6,92.3,100.9,43.2,56.8,16:25,13:29,25,14,-7.2,,
Yegor Zamula,20,PHI,D,2,33,28,54.1,-8.5,26,24,52.0,-9.3,10.5,94.1,104.6,43.5,56.5,17:04,16:55,1,0,0.2,8,62.5
Jakub Zboril,23,BOS,D,42,572,506,53.1,0.2,442,391,53.1,-0.7,6.0,93.2,99.2,58.2,41.8,17:03,15:52,6,14,-1.4,82,42.7
Trevor Zegras,19,ANA,C,24,279,237,54.1,5.3,205,193,51.5,3.1,12.9,90.4,103.3,62.7,37.3,15:24,13:11,6,12,2.2,101,52.5
Mika Zibanejad,27,NYR,C,56,611,728,45.6,-1.7,458,548,45.5,-2.5,12.4,89.2,101.6,50.6,49.4,20:06,14:04,39,45,-4.8,316,54.1
Radim Zohorna,24,PIT,F,8,51,49,51.0,-0.9,41,37,52.6,1.5,22.6,96.3,118.9,53.3,46.7,9:02,8:05,3,0,0.4,11,72.7
Artem Zub,25,OTT,D,47,651,677,49.0,1.0,496,502,49.7,1.9,12.1,89.5,101.6,36.9,63.1,18:23,16:09,8,36,-1.7,85,45.9
Mats Zuccarello,33,MIN,LW,42,526,539,49.4,4.5,406,411,49.7,3.7,11.8,91.9,103.7,57.9,42.1,16:41,14:17,18,18,0.7,143,51.7
Jason Zucker,29,PIT,LW,38,459,427,51.8,-0.1,343,319,51.8,0.3,8.4,87.9,96.3,64.2,35.8,15:41,14:18,18,13,-3.1,119,56.3
